Name,Address,Zip Code,State,Phone,Email,Web URL,Type,Style
Arizona Filipino Martial Arts,"318 North 5th Avenue, Phoenix ",85003,Arizona,[602] 6799713,Email,Web URL,school,
Arnis Balite,Peoria ,85345,Arizona,,,,school,Arnis
Comprehensive Fighting Systems,Sahuarita ,85629,Arizona,[575] 3084632,,,school,
Direct Torres Eskrima International,Mesa ,85213,Arizona,,,,school,Eskrima
DTE Eskrima,"1409 W. Indian School Rd., Phoenix ",,Arizona,[480] 3319885,,,school,Eskrima
ESAELD Panuntukan/JKD,"Val Vista Dr & Guadalupe Rd., Gilbert ",85234,Arizona, ,,,school,
Full Circle Martial Arts,Glendale ,,Arizona,[623] 7556720,,,school,
FTMA Arizona Chapter,Phoenix ,,Arizona,[480] 3433362,,,school,
Gerald Toki School of Kali,"7171 W Discovery Dr, Glendale ",85303,Arizona,[623] 3329367,,,school,Kali
NavaSticks FMA,North Central Phoenix ,85032,Arizona,[480] 7071141 ,,,school,
Phoenix Combat Escrima ,Phoenix AZ,,Arizona,[602] 3589520 ,,,school,Escrima
Progressive Arnis Tucson Arizona,"7320 N. La Cholla Blvd. #164, Tucson ",85741,Arizona,,,,school,Arnis
Southwest Martial Arts,"2356 W. Jasper Butte Dr., Queen Creek ",85242,Arizona,[480] 9875116,,,school,
Stick Fighter Training Center,Tucson ,85745,Arizona,[520] 9559243,,,school,
Malmo Martial Arts,"P.O. Box 654, Bentonville ",72712,Arkansas,[479] 6404455,,,school,
Conway Karate Jujitsu Escrima,Conway ,72127,Arkansas,[501] 3545843,,,school,Escrima
HAMA/Sanano Arnis Trecehampas,"1002 E. Main St., Cabot ",72023,Arkansas,[501] 6061722,,,school,
PTK Arkansas,Fort Smith ,72903,Arkansas,,,,school,
American Karate Academy (Latosa Escrima),"424 Moore Lane, Healdsburg ",,California,[707] 4334717,,,school,Escrima
Atillo Balintawak,"38550 Florence St., Beaumont ",92223,California,[909] 3636435,,,school,
BabaoArnis Academy,"1143 Antoine Dr., San Diego ",92139,California,,,,school,
Backyard BrotherhoodUna Sa Laban,Salinas ,93906,California,[417] 2523441,,,school,
Bahala Na MultiStyle ,"Filipino Plaza 6 West Main St., Stockton",,California,[209] 9818084,,,school,
Bais Tres Manos (KalisSilatKuntaw) ,"12 Panaroma Dr. AptD, Vallejo ",94589,California,[925] 4516728,,,school,Kali
Balintawak Arnis Academy,"Bayanihan Center, Seafood Plaza, 3495 Sonoma `Blvd, Vallejo ",94589,California,[707] 3424448,,,school,Arnis
Bandalan Doce Pares,"6081 Killarney Ave., Garden Grove ",92845,California,[714] 8925271 / [714] 8988497,,,school,
B.A.S.H. Combatives Fitmess,"2934 N. Beverly Glen Circle #270, Los Angeles ",90077,California,[310] 8502515,,,school,
Bay Area Serrada Escrima,"P.O. Box 21716, El Sobrante ",94820,California,[510] 2220332,,,school,Escrima
BlaysHalla Battle Academy,Orange,,California,,,,school,
Cabales Serrada Escrima,"136 E Harding Way, Stockton ",95207,California,[209] 5982384,,,school,Escrima
Capital Doce Pares,"2197 Chase Drive Bldg. #2, Rancho Cordova ",95670,California,[916] 8635278,,,school,
Cardenas School of Modern Arnis/Arnis de Mano,"2605 Hoover Ave., National City ",91950,California,[619] 3391418,,,school,Arnis
Center for Practical Self Defense (Combat Jujutsu and Filipino Fighting Methodology),"Riverside, California",,California,[909] 2343015,,,school,
Combative Martial Arts Systems,"1670 West 162nd St., Gardena ",90247,California,,,,school,
Dakip Diwa Martial Arts,Antioch 94509,,California,[925] 8487389,,,school,
Decuerdas Self Defense Organization,"960 Shortland Circle, Manteca ",95337,California,[209] 6087826,,,school,
Delta One Martial Arts (Senkotiros),"3385 Deer Valley Road, Antioch ",94531,California,[925] 7531167,,,school,
Doce Pares,"2391 Cashaw Way, Sacramento ",95834,California,[916] 2481802 ,,,school,
Doce Pares Sacramento,"65 Quint Ct. Suite J, Sacramento ",95823,California,[916] 3750745,,,school,
Dublin Martial Arts Academy,Dublin ,94568,California,[925] 2360076,,,school,
ESKABO Da'an,"1475 Polk St #11, San Francisco ",94109,California,[415] 6744388,,,school,
Filipino Martial Arts Academy (Doce Pares),"120 Main Ave. Suite C., Sacramento ",95838,California,[916] 8038157,,,school,
Filipino Martial Arts Academy (Doce Pares),"120 Main Ave. Suite C., Sacramento ",95838,California,[916] 8038157,,,school,
Filipino Martial Arts Academy,"3901 A Pell Circle, Sacramento ",95834,California,,,,school,
Filipino Tactical Systems,"Mente Linda Loop Park, Milpitas ",95035,California,[909] 4388045,,,school,
|FILKOMA (Filipino Kombat Martial Arts) ,"833 Brisbane St., Hemet ",92545,California,[858] 4515425,,,school,
Gajo Martial Arts,"10890B Thornmint Rd., San Diego ",92127,California,[805] 3768292,,,school,
Gonzalez Martial Arts Academy,"1143 W. Fremont St, Stockton ",95203,California,[209] 369 2747,,,school,
ILMA/Sanano Arnis Trecehampas,"4681 Mission St., San Frnacisco ",94112,California,,,,school,Arnis
IMB Academy Inc.,"22109 South Vermont Ave., Torrance ",90502,California,[310] 7878793,,,school,
Inayan Eskrima Academy,"1350 South Park Victoria, Milpitas/San Jose ",95132,California,[408] 7124244,,,school,Eskrima
Inayan Systems International,"PO Box 2112, Paradise, CA. ",95967,California,,,,school,
International Eskrima Serrada Association,"San Francisco, Oakland, Los Angeles ",,California,[888] 2215462,,,school,Eskrima
Island Warriors Balintawak Arnis,"4380 Sonoma Blvd., Vallejo ",94589,California,[707] 4771159,,,school,Arnis
Jedokan Martial Arts,"9412 Irondale Ave., Chatsworth ",91311,California,[818] 6455240,,,school,
JKD Self Defense Academy,"1931 Old Middlefield Way, Mountain View ",94043,California,[408] 3730204,,,school,
KaJuKenBo Self Defense Institute of Vallejo,"974 Benicia Rd, Vallejo ",94591,California,,,,school,
Kali Method ,1330 N. Monte Vista Ave #2 ,91786,California,[909] 5758809,,,school,
KATA Tapado Filipino Long Stick Fighting,"Curtis Park, Sacramento ",95864,California,[916] 718 7639,,,school,
Kenshin Kai,"6070 Livingston Ln., Placerville ",95667,California,[808] 5545445,,,school,
Lameco Eskrima,,,California,[818] 3570440,,,school,Eskrima
Latosa Weapons System (Latosa Escrima),"PO Box 651, Windsor ",95492,California,[707] 8430640,,,school,Eskrima
Liahona Warrior Arts International,"6100 Tremain Dr, Citrus Heights ",95621,California,[916] 7473694 ,,,school,
Los Angeles Doce Pares ,Los Angeles ,90031,California,,,,school,
Magda Institute of Martial Arts,"7255 Canby Ave., Reseda ",91335,California,[818] 3422455,,,school,
Manglinong Martial Arts,"PO Box 8251, South Lake Tahoe ",96158,California,,,,school,
Martial Arts Training Club,Sacramento ,95824,California,[916] 4219428,,,school,
Marin Self Defense Solutions,"555 Francisco Blvd E, Unit 12, San Rafael ",94901,California,[415] 7554318,,,school,
Mata sa Bagyo,Stockton,,California,[209] 9920832,,,school,
Mikita School of Martial Art,"12908 West Washington Blvd., Los Angeles ",90066,California,[310] 7545517,,,school,
MiraRada Escrima,"1163 East March Lane, Suite D363, Stockton ",95210,California,[209] 4053189,,,school,Escrima
Modern Arnis Remy Presas International Organization (MARPIO),"1169 Market St. Suite 249, San Francisco ",94103,California,[415] 7030434,,,school,Arnis
Mt. Diablo Hwa Rang Kwan/Isidro Modern Arnis,"3105 Willow Pass Rd., Baypoint ",94565,California,[925] 4581254,,,school,Arnis
Nor Cal Kabaroan (W.O.R. Ministries),"4383 Oxwood Dr., Sacramento ",95826,California,[916] 8027096,,,school,
Oakland Eskrima Club,"4770 San Pablo Ave., Emeryville ",94608,California,[510] 3938928,,,school,
Ohana Kenpo Karate & Bandalan Doce Pares (Bandalan Doce Pares Headquarters),"402 3rd St., San Juan Bautista ",95045,California,[408] 3100101,,,school,
Original Giron Escrima Federation,Vallejo ,94591,California,[707] 8532477,,,school,Escrima
Pakamut Flex Services Inc.,"PO Box 65552, Los Angeles ",90065,California,[323] 3508500,,,school,
 Pakamut Eagle Rock Los Angeles,"1840 Yosemite Dr, Los Angeles ",90041,California, ,,,school,
P.A.M.A.,"P.O. Box 610277, San Jose ",95161,California,[408] 9463200,,,school,
Pekiti Tirsia Kali,"2295 Lincoln Ave, San Jose ",95125,California,[949] 922 – 5583,,,school,Kali
 729 Matoza Ln.,San Leandro ,94577,California, [510] 2067156,,,school,
Phelan Self Defense,"4647 Jackson Ln, Phelan ",93372,California,[760] 8690840,,,school,
PMAA (Hayward Martial Arts),"1024 B St. Suite 1, Hayward ",94541,California,[925] 8647477,,,school,
PTKSMF Los Angeles,Los Angeles,,California,[323] 4128556,,,school,
PTKSMF Peninsula,"230 De Anza Blvd., San Mateo ",94402,California,[415] 9396346,,,school,
Pulahan Derobio Eskrima,"821 Kuhn Drive, Suite 106, Chula Vista ",91914,California,[619] 8851571,,,school,
San Diego Doce Pares,San Diego,,California,,,,school,
Senkotiros,"13752 Doolittle Drive, San Leandro ",94578,California,[510] 4836560,,,school,
,3385 Deer Valley Rd. Antioch ,94509,California,[925] 7531167,,,school,
,"628 4th Street, Davis ",95616,California,[530] 7585431,,,school,
,"31600 Alvarado Blvd., Union City ",94587,California,,,,school,
Serrada Escrima ,"P.O. Box 268, French Camp ",95231,California,[209] 2342188,,,school,Escrima
SikaranArnis Academy,"Sikaran Bldg. 1122 High St., Delano ",93215,California,[661] 7209175,,,school,
Solve et Coagula,"13428 Maxella Ave # 192, Marina Del Rey ",90292,California,[310] 9029673,,,school,
South Bay Filipino,"19751 South Figuroa Ave., Carson ",90745,California,[310] 9611266,,,school,
Spirit of Filipino Martial Arts,"833 Brisbane St., Hemet ",92545,California,[909] 4388045,,,school,
Sudlud Eskrima,San Jose ,95117,California,[408] 8665127,,,school,Eskrima
Tae Kali Do,"1661 Pacific Ave. #18, Oxnard ",93033,California,[805] 2562032,,,school,Kali
Toma's Modern Arnis,"4404 West Victory Blvd., Burbank ",91505,California,[818] 8434984,,,school,Arnis
Trampilla Arnis,1551 W. 13th St. Upland,,California,[909] 2648136,,,school,Arnis
Typhoon Martial Arts,"4120 Franklin Blvd, Sacramento ",95820,California,[916] 4555155,,,school,
Upakan BaraBara Martial Arts Academy,"Fremont, ",94536,California,[510] 8285108,,,school,
Urban Defense Tactics,"San Jose, San Jose ",95148,California,[408] 7537539,,,school,
Wan Chuan Do Kali Association,"PO Box 1293, Magalia ",95954,California,,,,school,Kali
Warriors of Visayas Ordiniza Filipino Martial Arts,"2910 Southside Rd., Hollister ",95023,California,[831] 524295,,,school,
Waterford Martial Arts Center,"304 F St. Suite C., Waterford ",95386,California,[209] 4092462,,,school,
White Tiger Martial Arts Academy,"9525 N. Sommerville Dr. #111, Fresno ",93720,California,[559] 4331200,,,school,
Williams Home of Escrima,Tracy ,95304,California,[209] 8352546,,,school,Escrima
World Eskrido Federation,"5917 Los Molinos Dr., Buena Park ",90620,California,[714] 9283371,,,school,Escrima
Colorado Bahad Zu'bu Eskrima/Kali/Arnis,"14401 E.Bayaud Ave Unit E., Aurora",80011,Colorado,[303] 5478665,,,school,Eskrima / Kali / Arnis
Colorado Chinese & Filipino Martial Arts,"21235 E. Grand Dr., Centennial ",80015,Colorado,[303] 2047008,,,school,
Defense Institute School of SelfDefense,"845 South Circle Dr., Colorado Springs ",80910,Colorado,[719] 6308373,,,school,
Denver Academy of Martial Arts,"4401 S. Tamarac Pkwy, Denver ",80247,Colorado,[303] 7589383 ,,,school,
Kapatiran Mandirigma Colorado ,"4103 S. Mason, Ft. Collins ",80525,Colorado,,,,school,
Martial works,Boulder ,80304,Colorado,[720] 933 6011,,,school,
Nubreed Kali Silat,"935 Sheridan Blvd. #34, Lakewood ",80214,Colorado,[720] 6286803,,,school,Kali
Rocky Mountain Kali Group,Colorado Springs ,80903,Colorado,[719] 3046764,,,school,
Tabimina Balintawak Denver/Central US Chapter," Central Park, Stapleton,Denver ",80238,Colorado,[850] 6355334,,,school,
Becker Wing Chun Kune Tao (Kali Silat Sina Tirsia Wali)," 346 Main St.,Danbury ",6810,Connecticut,[203] 7912116,,,school,Kali
 346 Main St.Danbury 06810,,,,,,,,
Connecticut Modern Arnis Jujitsu,"871F Newfield St., Middletown ",6457,Connecticut,[860] 6328188,,,school,Arnis
Cromwell Martial Arts,"871F Newfield St., Middletown ",6457,Connecticut,[860] 6328188,,,school,
Lion Survival Defense System,"194 Bridgeport Ave., Milford ",6460,Connecticut,[203] 5573312,,,school,
Practical Self Defense Training Center,"2148 South Main St., Waterbury ",5706,Connecticut,[203] 5969073,,,school,
Stamford Center for Martial Arts,"100 Research Dr., Stamford ",6906,Connecticut,[203] 5709040,,,school,
Swift Waters MMA,"25 Meadow St., Willimantic ",6226,Connecticut,[860] 3197238,,,school,
Dauntless Practical Martial Arts,"250 Stadium Street, Suite 100, Smyrna 19977644 Plaza Drive, Newark ",19702,Delaware,[302] 7433115,,,school,
Sachetti's Martial Arts," Four Seasons Plaza, Rt. 896, Newark 19702",,Delaware,[302] 2243057,,,school,
Arnis Karate,"1479 Belcher Rd. S, Largo, Florida",,Florida,[727] 5353574,,,school,Arnis
Authentic Jeet Kune Do Academy,"6635 M.L.K. st. N., Saint Petersburg ",33702,Florida,[727] 5772108,,,school,
Central Florida Martial Art Academy,"8319 SW 61st Place, Gainesville ",32608,Florida,[352] 3288526,,,school,
Cross Martial Arts Training,"12780 51st Court North, West Palm Beach ",33411,Florida,[561] 5129707,,,school,
CSSD Conceptual Tactical Arnis Presas Arnis,"3665 East Bay Dr. Suite 204233, Largo ",33771,Florida,[727] 3190550,,,school,Arnis
East Coast School of Self Defense,"21000 Boca Rio Rd., A20, Boca Raton ",33433,Florida,[561] 2185755,,,school,
Filipine Triad Arts Synthesis,"2129 N.E. 4th Ave., Cape Coral ",33909,Florida,[239] 6991993,,,school,
Filipino Combat Systems Headquarters,"812 N. Howard Ave., Tampa ",33606,Florida,,,,school,
Orlando,"4609 W. Ponkan Rd., Apopka ",32712,Florida,,,,school,
Tampa 33606,,,Florida,,,,school,
Filipino Kali Academy,"7352 West Atlantic Blvd., Margate ",33063,Florida,[954] 9730222,,,school,Kali
Filipino Kali Academy,2293 NE 164th St. North Miami Beach ,33160,Florida,[305] 9441114,,,school,Kali
Garimot Arnis Training (G.A.T ),"852 Saxon Blvd Suite 30, Orange City",,Florida,[352] 3018229,,,school,Arnis
Haastyle Martial Arts Academy,"21000 Boca Rio Rd. Suite A20, Boca Raton ",33433,Florida,[561] 2185755,,,school,
Hybrid Martial Arts Academy,"12105 SW 129th Court #103, Miami .",33186,Florida,[786] 3856424,,,school,
Kombat Arts Institute ,"133 Flagship Dr., Lutz ",33549,Florida,[813] 2791940,,,school,
Luzviminda Arnis Kali Brotherhood,"5949 Caroline Dr., Wesley Chapel ",33544,Florida,[813] 9731620,,,school,Arnis / Kali
Miami STICKFIGHTER Club,"Varied Public Parks, Cutler Bay and Homestead (SW MiamiDade)",,Florida, ,,,school,
Majapai Derobio Arnis 63 Generals,"1897 Island Walk Way, Fernandina Beach ",32034,Florida,[904] 4151733,,,school,Arnis
Miami Arnis Group,"909 Alton Rd., Miami Beach ",33139,Florida,[305] 3010294,,,school,Arnis
Orlando Balintawak Club,"317 E Washington St Unit D., Minneola ",34715,Florida,[850] 3251111,,,school,
P. A. E. T. E. (Garimot System USA),"1240 NW 92 Ave., Pembroke Pines ",33024,Florida,[954] 4324433,,,school,
Pambuan Arnis of Sarasota,"2203 Pinehurst St., Sarasota ",34231,Florida,[941] 7806013,,,school,Arnis
Philippine Martial Art Society,"Box 210642, Royal Palm Beach ",33421,Florida,[561] 6979162,,,school,
Shin Wellness,"4500 Biscayne Blvd., Suite 202, Miami ",33137,Florida,[305] 5719090,,,school,
Smileys Combat Athletix,"3600 Peoria Road #202/203, Orange Park ",32065,Florida,[904] 6447571,,,school,
Tabimina Balintawak,"South East, Santa Rosa Beach ",32459,Florida,[850] 6355334,,,school,
Tampa Kali,"5705 N. Nebraska Ave., Tampa and St. Petersburg ",33604,Florida,[813] 4548743,,,school,Kali
Traditional Martial Arts,"2220 Hempel Ave., Gotha ",34734,Florida,[407] 2908049,,,school,
Unified Martial Art Academy,"12580 SW 88th St., Miami ",33186,Florida,[305] 5952892,,,school,
Warrior Arts Academy,"11764 Marco Beach Drive # 2, Jacksonville ",32224,Florida,[904] 6457000,,,school,
World Kali Silat Society,"3950 Ironwood Cr., Bradenton ",34209,Florida,[917] 5355254,,,school,Kali
Yaro's Arnis Karate,"1240 S.Highland Ave., Clearwater ",33756,Florida,[727] 6413843,,,school,Arnis
AKJ Karate,"3565 GA HWY 20 South, Suite B, Conyers ",30013,Georgia,[770] 8609304,,,school,
American Karate Productions,"2241 Idlewood Road, Tucker ",30084,Georgia,[770] 4938970,,,school,
Atlanta Filipino Martial Arts,"1284 West Spring Street, Smyrna ",30080,Georgia,[770] 3198662,,,school,
Atlanta Martial Arts Club,Roswell ,30076,Georgia,[770] 873 2234,,,club,
Battlefield Kali,"4348 Waialae Avenue # 128, Honolulu ",96816,Georgia,,,,school,Kali
Fayette Academy of Martial Arts,"931 Glynn St., Fayetteville ",30214,Georgia,,,,school,
Battlefield Kali,"4348 Waialae Avenue # 128, Honolulu ",96816,Hawaii,[808] 8641620,,,school,
Bandalan Doce Pares,Honolulu,,Hawaii,[808] 8641620 ,,,school,
Delmar School Fil/Mar/Arts,"87126 Kulahanai PL., Waianae ",96792,Hawaii,[808] 2242551,,,school,
Fonseca KenpoJujitsu,"911081 Kahalepouli St., Kapolei ",96707,Hawaii,[808] 7232792,,,school,
General Ablen's School of Derobio Escrima,"1519 Kalaepa'a Dr., Honolulu ",96817,Hawaii,[808] 6209056,,,school,Escrima
Integrated Training Concepts,"P.O. Box 12104, Lahaina ",96761,Hawaii,[808] 7813302,,,school,
Ola'aNalo Eskrima,"Old Stadium Park, Honolulu",,Hawaii,[808] 2645212,,,school,Eskrima
Pacific Eskrima Academy (Tacosa Cadena Eskrima),"P.O. Box 2212 Kea'au, Hilo ",96749,Hawaii,,,,school,Eskrima
Pedoy's School of Escrima,"94529 Uke`e St. #103, Waipahu ",96797,Hawaii,[209] 3213586,,,school,Escrima
Molokai Martial Arts,"PO Box 1715, Kaunakakai ",96748,Hawaii,[808] 2163211,,,school,
The Fighting Edge,Honolulu ,96818,Hawaii,[808] 3360936,,,school,
Idaho Heartland School of Eskrima & Self Defense,"31149 N. Hayden Dr., Spirit Lake ",,Idaho,,,,school,Escrima
Amalgam Martial Academy,"456 W. 75th St., Downers Grove ",60516,Illinois,[331] 7775236,,,school,
Balanced Dynamics Academy,"1300 East B St., #2, Belleville ",62221,Illinois,[618] 5308761,,,school,
Bandalan Doce Pares," 331 Tiverton Lane, Steger ",60475,Illinois,[708] 7567240,,,school,
DBFMA Modern Arnis,"605 E. Ogden Ave., Naperville ",60563,Illinois,[630] 4478286,,,school,Arnis
Defensive Combat Initiatives,"PO Box 29, Millstadt ",62260,Illinois,[618] 9793558,,,school,
Defensor Method Elgin,"1080 E, Chicago St., Elgin ",60120,Illinois,[847] 8737907,,,school,
Eagle & Dragon Martial Arts Academy,"2331a Old Collinsville Rd., Belleville ",62221,Illinois,[618] 2222888,,,school,
Elite Martial Arts & Fitness," 4001 Golf Rd., Skokie ",60076,Illinois,[847] 3290291,,,school,
Extreme Kung Fu/Wu Shu Training Center,"6525 N. Clark St., Chicago ",,Illinois,[773] 7196488,,,school,
Filipino Kali / Eskrima Academy of Chicago,"4357 N. Lincoln Ave., Chicago ",60618,Illinois,[847] 2393990,,,school,Kali / Eskrima
JKDConcepts/Kali/Silat of Bloomington,"602 S Main St, Bloomington ",61701,Illinois,[309] 3107626,,,school,Kali
Kali Combat Academy, Chicago ,60088,Illinois,[847] 9897847,,,school,
Kennedy's Martial Arts Academy,"1199 Biesterfield Road, Elk Grove Village ",60007,Illinois,[847] 8918731,,,school,
Midway Kodenkan,"5159 Archer Ave., Chicago ",60632,Illinois,[773] 2848818,,,school,
RFA Martial Academy,"1212 Capitol Dr., Addison ",60101,Illinois,[224] 6596984,,,school,
Temujin 2 (Lucaylucay Kali/JKD Association),"611 N Orchard, West Frankfort ",62896,Illinois,[618] 8890647,,,school,Kali
World Martial Arts Academy USA,"316 Anderson Blvd., Geneva ",60134,Illinois,[630] 4020033,,,school,
Xtreme Training Academy,1292 Humbracht Circle Unit E.. Bartlett ,60103,Illinois,[630] 7800054,,,school,
Indy Arnis Club,"7141 Southeastern Ave., Indianapolis ",46239,Indiana,,,,school,Arnis
Midwest Martial Arts Group,"3104 Eads St., Davenport ",52802,Iowa,[563] 4997561,,,school,
Academy of Martial Arts,"401 N. Madison St., Spring Hill ",66083,Kansas,[913] 6081515,,,school,
Malay Fighting Arts Academy,"856 East 167th Court, Gardner ",66030,Kansas,[913] 6264372,,,school,
AFS Academy of Martial Arts," 427 Big Hill Ave., Richmond ",40475,Kentucky,[859] 6238023,,,school,
Roninkan,Highgrove ,40013,Kentucky,,,,school,
Tactical Combative Kali,,40475,Kentucky,[859] 6262476,,,school,Kali
USA Philippine Jendo Association," 702 Hickory Ridge Circle, Hopkinsville ",42240,Kentucky,[270] 3051869,,,school,
Progressive Martial Arts Training Center,"910 E. Main St., Suite 31, New Iberia ",70560,Louisiana,[337] 2011791,,,school,
Element of Surprise FMA,"22 Alvin Dr., Pineville ",71360,Louisiana,[318] 7304636,,,school,
Apolo's Karate (Pekiti Tirisa Kali System),"750 Maryland Route 3South, Gambrills ",21054,Maryland,[410] 9235222,,,school,
Black Tiger Martial Arts Academy,"6901 Security Blvd. # 2038, Windsor Mill ",21244,Maryland,[443] 5403672,,,school,
DC Kali,"916 G Street, NW., Washington",,Maryland,,,,school,
Gentle East Martial Arts,"8749 Flower Ave, Takoma , Silver Spring ",20910,Maryland,(301) 7688401,,,school,
Hebb Institute of Martial Arts,"Park Rd., Williamsport ",21795,Maryland,[301] 2237719,,,school,
Pekiti Tirsia Kali DC/MD/VA,"Benfield Sportscenter, 1031 Benfield Blvd., Millersville ",21108,Maryland,[443] 3029613,,,school,
