Name,Address,Zip Code,State,Phone,Email,Web URL,Type,Style
Pinakatay Arnis Sigidas,"949 Bonifant Ave., Silver Spring ",20910,Maryland,[301] 7688401,,,school,Arnis
School Of Ahati,"11225 Oak Leaf Dr., Silver Spring ",20901,Maryland,[301] 5370028,,,school,
World Nickelstick Balintawak Escrima Maryland, Towson ,21286,Maryland,[443] 7630420,,,school,Escrima
YawYan Fervilleon Martial Arts US HQ,"601 Dover Rd, Suite 12, Rockville ",20850,Maryland,[855] 8929926,,,school,
AndersonKali,"44 South St. (American Legion, Post217), Plainville ",2762,Massachusetts,[508] 8380057,,,school,
Boston Arnis Club,Boston ,,Massachusetts,[603] 5293564,,,Club,Arnis
Methuen,,1844,Massachusetts,[978] 7716653,,,school,
Catanese Kajukenbo ETS method,"950 East Falmouth Highway, Falmouth ",2563,Massachusetts,[617] 7022220 ,,,school,
CSE Boston (Combat Serrada Escrima) ,"600 Columbia Rd., #26, Dorchester ",2125,Massachusetts,[617] 8690516,,,school,Escrima
Dragon Within Martial Arts,"26 Howley St., Peabody ",1970,Massachusetts,[978] 5318511,,,school,
Jou Fang Chuan Nine Anle Fist,"50 North Beacon St., Boston ",2134,Massachusetts,[617] 6809981 ,,,school,
Martial Arts Research Institute,"53 Mason St. Suite 201, Salem ",1970,Massachusetts,[978] 7770586,,,school,
Pence Self Defense,"226 Cambridge St., Burlington ",1803,Massachusetts,[877] 527 2838,,,school,
Phoenix Martial Arts of Massachusetts,"54 Sumner St., Milford ",1757,Massachusetts,[516] 3534923,,,school,
SEAFA," 375 Foundry St., Easton",,Massachusetts,[508] 8898414,,,school,
Universal Grapping Arts,Malden ,2148,Massachusetts,,,,school,
White Leopard Sikaran,"540 Main St., Athol ",1331,Massachusetts,[978] 2496328,,,school,
Attributive Martial Arts Inc.,"697 Princess Dr., Canton ",48188,Michigan,[734] 9811774,,,school,
Instinctive Response Training,"200 West Center, Alma ",48801,Michigan,[989] 5608004,,,school,
King Tiger Martial Arts School (Sina Tirsia Wali Kali/Silat), Detroit ,48030,Michigan,[248] 5445657,,,school,Kali
K.S.K. Martial Arts,"3712 Homewood, Lansing ",48910,Michigan,[517] 8539856,,,school,
Martial Arts Unlimited,"1060 West 14 Mile , Clawson, MI ",48017,Michigan,[248] 4354030,,,school,
Masters and Champions (Concepts in Motion),"6072 S. Saginaw St., Grand Blanc ",48439,Michigan,[810] 3483421,,,school,
Michigan Pekiti Tirsia Pitbulls,Detroit,,Michigan,[248] 9817495,,,school,
Michigan Modern Arnis (A MARPPIO School),"11860 Wheaton Dr., Sterling Heights ",48313,Michigan,[586] 7390497,,,school,Arnis
Progressive Kali Silat,"315 Larry Ln., Charlotte ",48813,Michigan,[517] 5412864,,,school,Kali
Pukulan Power Self Defense,"3330 W. Water St, Port Huron ",48060,Michigan,[810] 8410682,,,school,
Zen Modern Arnis,Warren ,48091,Michigan,[586] 4848407,,,school,Arnis
Bahad Zubu Midwest Chapter,"2913 Lyndale Ave. S., Minneapolis ",55408,Minnesota,[612] 5677727,,,school,
Innovative Fighting Arts," 87212 Oak Lake Rd South, Kerrick ",55756,Minnesota,[218] 4965890,,,school,
Minneapolis Kali Group,"532 Chicago Ave. S., Minneapolis ",55407,Minnesota,[612] 8216800,,,school,Kali
Minnesota Martial Arts Academy,"1916 57th Avenue North, Brooklyn Center ",55430,Minnesota,[763] 5605696,,,school,
Philippine Combat Arts,"4930 MN169, New Hope ",55428,Minnesota,[612] 3274002,,,school,
Warrior's Cove,"3004 Texas Ave., Saint Louis Park ",55426,Minnesota,[612] 9788959,,,school,
Backyard Brotherhood Una Sa Laban,"4044 state route DD, Willow Springs ",65793,Missouri,[417] 2523441,,,school,
Combat Zone ,"2331 N. Pierce, Springfield ",65803,Missouri,[417] 8316840,,,school,
Dexter's Martial Arts Training Center," 1310 Grand Ave., Columbia ",65203,Missouri,[573] 6900041,,,school,
Garimot Arnis Saint Louis ,"Willmore Park, Hampton and Jamieson Ave., St. Louis ",63109,Missouri,,,,school,Arnis
Saint Louis Counterpoint Martial Arts,"1072 Wolfrum Rd., St Charles ",63304,Missouri,,,,school,
Billings Chi Tu Do,"1807 Grand Ave., Billings ",59102,Montana,,,,school,
7th Direction School of Martial Arts / Treceham,"Box 216, Macy ",68039,Nevada,[402] 8465554,,,school,
CKI Jeet Kune Do & Filipino Combat Escrima International,"730 W. Sunset Blvd., Las Vegas",,Nevada,[702] 2343189,,,school,Escrima
Filipino Mixed Martial Arts,"4331 W. Charleston Blvd, Las Vegas ",89131,Nevada,[702] 8718883,,,school,
Integrating Kali Combative Concepts (IKCC),"Carson River Dr., Dayton ",89403,Nevada,[419] 9134522,,,school,Kali
Las Vegas Kung Fu Academy,"11165 S. Eastern Ave. Ste. 110, Henderson ",89052,Nevada,[702] 3361095,,,school,
Tribal Advantage Systems International,"3155 W. Post Rd., Las Vegas 89118",,Nevada,[702] 7853111,,,school,
Boston Arnis Club,"PO Box 171, Weare ",3281,New Hampshire,[603] 7593163,,,school,Arnis
Bujinkan Dojo,Manchester ,3101,New Hampshire,[603] 6683181,,,school,
Green Mountain Martial Arts (Latosa Escrima Dai Si Hing Dan Palow),"PO Box 806, Hanover",,New Hampshire,[802] 3339104,,,school,Escrima
Guy Chase Academy,"1660 Greenland Rd., Greenland ",3060,New Hampshire,[978] 8538513,,,school,
SEAFA,"11 Tallwood Dr., Bow ",3303,New Hampshire,[603] 4960504,,,school,
Terry Dow's Academy of Martial Arts,"18 South Commercial St., Manchester ",3101,New Hampshire,[603] 5916546,,,school,
Alex Wilkie's Martial Arts Academy,"783 E. Main St., Bldg. 30E, Bridgewater ",8807,New Jersey,[732] 7481580,,,school,
Amara Arkanis Filipino Martial Arts Education,"#5 Scott St., Riverside ",8075,New Jersey,[609] 4563589,,,school,
American Karate and Arnis Academy,"1703A Industrial Hwy., Cinnaminson ",8077,New Jersey,[856] 8294800,,,school,Arnis
Atienza Kali,Belleville,,New Jersey,[201] 4635151,,,school,Kali
Piscataway,,8854,New Jersey,[201] 8928015,,,school,
Institute of Defensive Methods,"451 1st St., Hoboken ",7030,New Jersey,[201] 6830104,,,school,
Kuntaw Kali Kruzada,"65 Chestnut St., Red Bank ",7701,New Jersey,[201] 6746609,,,school,Kali
97 Main St.,"97 Main St., Woodbridge ",7095,New Jersey,,,,school,
Modern Fighting Concepts Academy,"307 White Horse Pike, Absecon ",8201,New Jersey,[609] 6462113,,,school,
Pami Kol Street Survival Self Defense,"2234 West Bangs Avenue, Neptune ",7753,New Jersey,[848] 2182646,,,school,
PIMA Academy,"779 Bergen Avenue (Rm 111, 2nd Fl.) , Jersey City ",7306,New Jersey,[201] 4326441 / [201] 7925792,,,school,
Red Dragon Martial Arts Academy,"10 N.Arlington St., Manville ",8835,New Jersey,[908] 2530022,,,school,
South Jersey Tactical Fighting Arts,"1438 Backline Road, Folsom ",8037,New Jersey,[609] 2045733,,,school,
Fil Am Kali and Silat of New Mexico,Rio Rancho ,87124,New Jersey,,,,school,Kali
Klose Kombat Arts ,"10500 La Paz NW, Albuquerque ",87114,New Jersey,[505] 3794615,,,school,
Takai Mine Karate ,"1027 Juan Tabo NE, Albuquerque ",87111,New Jersey,[505] 2946302,,,school,
Amerasian Defensive Arts Inc.,"2512 Elmwood Ave., Buffalo ",14217,New Jersey,[716] 4912716,,,school,
Americas Finest Self Defense Academy,"976 Leggett Ave suite 1B, Bronx ",10455,New Jersey,[718] 7878699 ,,,school,
Anderson's Martial Arts,"394 Broadway, 3rd Floor, New York ",10013,New Jersey,[212] 766 – 6622,,,school,
Atienza Kali,New York,,New Jersey,[917] 5510603,,,school,Kali
Brentwood Self Defense Academy,"115 South 2nd Street, Suite #10, Brentwood ",11701,New Jersey,[631] 3989525,,,school,
Calla Karate and JuJutsu,"1293 Castleton Ave. (corner of clove rd.), Staten Islands ",10310,New Jersey,[718] 7202509 / [917] 4394969,,,school,
EBMAS NYC Latosa Escrima,"316 East 63rd St., New York ",10065,New Jersey,[855] 5532627,,,school,Escrima
Erie Community College (South Campus),"Principal Instructor/Adjunct Professor, 4041, Southwestern Blvd, Orchard Park ",14127,New Jersey,[716] 2702679,,,school,
FMA Academy,"2792 Erie Blvd E., Syracuse ",13224,New Jersey,[315] 313KALI (5254),,,school,
FMA Kali Arnis Eskrima International,"475 Onderdonk Ave., Ridgewood, New York ",11385,New Jersey,[347] 3856771,,,school,Kali / Arnis / Eskrima
Horizon Martial Arts," 252 Center Rd., West Seneca ",14224,New Jersey,[716] 6750899,,,school,
Kapatiran Mandirigma NYC,New York ,10003,New Jersey,,,,school,
Kapatid Martial Arts Academy,"175 Tompkins Ave., Pleasantville ",10570,New Jersey,[914] 7415550,,,school,
Klasi Kali 306 Gold St,New York ,10003,New Jersey,,,,school,Kali
Kuntaw Kali Kruzada,"122 West 27th St. (2nd Flr.) (Between 6th & 7th Ave.), New York ",10001,New Jersey,[201] 6746609,,,school,Kali
Kuntaw Martial Arts (Kuntaw New York),"753 Flatbush Ave 2nd FL, Brooklyn ",11226,New Jersey,[347] 5850088,,,school,
Kwikstik Martial Arts,Jamaica ,11432,New Jersey,[718] 7393266,,,school,
Latosa Escrima at Fighthouse,"122 West 27 St. 2nd Floor , New York",10001,New Jersey,[646] 3697704,,,school,Escrima
Latosa Escrima NY,"316 7th St. (Corner of 5th Avenue 2nd Fl.), Brooklyn, (Park Slope) ",11215,New Jersey,[646] 3697704,,,school,Escrima
Modern Arnis Domog,"188 East 3rd. St. (Between Ave. A & B), New York ",10009,New Jersey,[212] 6143250,,,school,Arnis
Modern Fighting Arts Academy,"509 Hicksville Rd., Massapequa ",11758,New Jersey,[516] 8174374,,,school,
Neo Tribe Kali,"122 West 27th Street, 2nd Floor, New York ",10001,New Jersey,[347] 2569291,,,school,Kali
New York Eskrima LLC,New York,,New Jersey,[646] 2101542,,,school,Eskrima
Northeastern Martial Arts Institute,"Chili Paul Plaza, 3240 Chili Ave., Rochester ",14624,New Jersey,[585] 8897330,,,school,
Nubreed Martial Arts Academy,"1248 Clintonville St., Whitestone ",11357,New Jersey,[718] 7472550,,,school,
Olaanalo Eskrima New York,"3 Elm St,, Walden ",12586,New Jersey,[845] 7784402,,,school,Eskrima
Pananandata Marinas 2 Worlds Dance + Fitness,"340 Wheatley Plaza, Greenvale ",11548,New Jersey,[516] 4846604,,,school,
Phoenix Martial Arts,"344 Jericho Turnpike, Floral Park ",11001,New Jersey,,,,school,
Rochester kali,Rochester ,14617,New Jersey,[585] 752 7827,,,school,kali
Progressive Martial Arts,"17525 Horace Harding Expy, Fresh Meadows ",11365,New Jersey,[718] 4610700,,,school,
Rising Phoenix Martial Arts,"Temple Hill Rd., New Windsor ",12553,New Jersey,[845] 7844359,,,school,
Rochester Kali,Rochester ,14617,New Jersey,[585] 752 7827,,,school,Kali
San Miguel Eskrima,"226 Laurel Road, East Northport ",11731,New Jersey,[631] 7487671,,,school,Eskrima
Sirat As Sayf MMA/FMA & Fitness Center,"13501 Liberty Ave., Richmond Hill ",11419,New Jersey,[646] 3977417,,,school,
Tactics Martial Arts Studio,"1315 Hempstead Turnpike, Elmont ",11003,New Jersey,[559] 6975633,,,school,
Tom Gallo Tactics Life Health & Fitness Club,"3711 35 Ave., Astoria ",11101,New Jersey,[559] 6975633,,,school,
Vee Arnis Jitsu School of Self Defense,"25 Park Place, 2nd Floor, New York ",10007,New Jersey,,,,school,Arnis
Vee Do Kwan U.S.A.,"3944 24 St., Long Island City ",11101,New Jersey,[718] 3619569,,,school,
Westchester Martial Arts Academy,"3 Sunnyside Terrace, Eastchester ",10709,New Jersey,[914] 9611800,,,school,
Westchester School of Arnis,White Plains,,New Jersey,,,,school,Arnis
Wing Chun Kali,Westchester County ,10710,New Jersey,[646] 6451141,,,school,Kali
World Kali Silat Society,"432 East 14 St. Box 638, New York ",10009,New Jersey,[212] 9791646,,,school,Kali
W.S.B.P. Eastern U.S. Chapter," 5291 Seneca Point Rd., Canandaigua ",14424,New Jersey,[585] 8203172,,,school,
Counterpoint Tactical System,"182 Broadview Circle, Mooresville ",28117,North Carolina,[650] 2699726,,,school,
Fighting Edge,Fort Bragg ,28310,North Carolina,,,,school,
Kuntaw Palace,"122 S. Goldsboro St., Wilson ",27893,North Carolina,[252] 2067900,,,school,
Pami Kol Street Survival Self Defense,"1612 Camden Rd. [Massey Hill Rec. Ctr], Fayetteville ",28306,North Carolina,[910] 4331569,,,school,
Stover's Martial Arts Academy,"3722 Carolina Beach Rd., Wilmington ",28412,North Carolina,[910] 7921762,,,school,
Sanano Karate Club / Trecehampas,"Box 386, North Dakota ",58530,North Dakota,[701] 7943399,,,school,
Academy of Filipino Martial Arts,"90 North Diamond St., Mansfield ",44906,Ohio,[419] 5572416,,,school,
Bob Yoder's Kung Fu and Kickboxing Academy,"2048 Sondra Ln., Grove City ",43123,Ohio,[614] 6495971,,,school,
Cincinnati Jeet Kune Do,"5116 CrookShank Rd., Cincinnati ",45238,Ohio,[513] 3647300,,,school,
Diversified Combat Arts and Sciences [Hikazelearningcorner],Wooster,,Ohio,,,,school,
HAMA Martial Arts,Parma,,Ohio,[440] 6223684,,,school,
MAKTAN Filipino Martial Arts,"6875 Fountain Blvd. Suite K, Cincinnati ",45069,Ohio,[513] 2189042,,,school,
Philippine Martial Arts Institute,"12613 State Rd, North Royalton ",44133,Ohio,[440] 2374138,,,school,
38131 Airport Parkway,"Unit 203, Willoughby, OH. ",44094,Ohio,[440] 2417450,,,school,
Serrada Eskrido Academy,"315 Kendal Ct. East, Amherst ",44001,Ohio,[440] 6106600,,,school,Eskrima
TAMA Martial Arts,"1753 Woodman Dr., Kettering ",45420,Ohio,[937] 2547035,,,school,
Adams Muay Thai Kali Academy,"6703 E. 81st. ST. Unit H, Tulsa ",74133,Oklahoma,[918] 4880707,,,school,Kali
MDT Martial Arts,Oklahoma City,,Oklahoma,[405] 4208135,,,school,
Silent Warrior Arts,"8300 Glade Ave., Oklahoma City ",73132,Oklahoma,[405] 6265171,,,school,
Tulsa Martial Arts,"5123 S. 110th East Ave., Tulsa ",74146,Oklahoma,[918] 2610160,,,school,
A.P.I. International Combat Arts ,"12239 SE Stark St., Portland ",97233,Oregon,[503] 2874265,,,school,
Dan Anderson Karate School and Modern Arnis,"311 NE Roberts St., Gresham ",97030,Oregon,[503] 6658596,,,school,Arnis
Ernie Reyes' World Martial Arts," 3075 SW 234th Ave Suite 103, Hillsboro ",97123,Oregon,[503] 6421500,,,school,
Escrima Arnis Kali San Soo Oregon,"P.O. Box 3412, Ashland ",97520,Oregon,,,,school,Escrima / Arnis / Kali
Eskabo Da’an,"5040 SE Milwaukie Ave., Portland ",97215,Oregon,[503] 3819145,,,school,
Kombatan Martial Arts Academy,"15875 SE 114 Ave. Suite O, Clackamas ",97015,Oregon,[503] 6573408,,,school,
Makoa Combatives Group,"3137 SW Primrose street #8, Portland ",97219,Oregon,[971] 5064610,,,school,
Northwest Fighting Arts,"1200 SE Morrison, Portland ",97214,Oregon,[503] 7402666,,,school,
Taodragon Martial Arts,"PO Box 11157, Eugene ",97440,Oregon,[541] 6831271,,,school,
Cebu West,"Unity and Sutton Ave., Folsom ",19033,Pennsylvania,[610] 3069308,,,school,
Kiski Martial Arts,"1155 Wildlife Lodge Rd, Lower Burrell ",15068,Pennsylvania,[724] 3345868,,,school,
Kuntao Martial Arts Club,"Franklin Commons, 400 Franklin Ave. Suite 245, Phoenixville ",19460,Pennsylvania,[610] 2373902 ext. 803,,,school,
Lathen Martial Arts," 257 West Riverview Ave., Pittsburgh ",15202,Pennsylvania,[412] 7345254 (kali),,,school,
Pennsylvania Pinakatay Arnis,"Forest Hills, Pittsburgh ",15221,Pennsylvania,[412]7797738,,,school,Arnis
PTKPA 342 Pottstown Pike,Exton ,19341,Pennsylvania,[610] 6399041,,,school,
Ryer Martial Arts Academy,"5440 Centre Ave., Pittsburgh ",15232,Pennsylvania,[412] 6217937,,,school,
Senkotiros,"499 Spruce St., St Marys, PA ",15857,Pennsylvania,(814) 5125001,,,school,
State College Martial Arts Academy,"412 W. College Ave., State College ",16801,Pennsylvania,[814] 2351015,,,school,
Three Rivers Eskrima Concepts,"529 8th St., Ambridge ",15003,Pennsylvania,[724] 6501019,,,school,Eskrima
TriState Martial Arts Academy,"670 Woodbourne, Rd. Suite 300, Langhorne ",19047,Pennsylvania,[215] 7417041,,,school,
Warren School of Self Defense,"200 Liberty St., Warren ",16365,Pennsylvania,[814] 6889707,,,school,
Filipino Combative Arts Academy,"33 Shadey lea Rd., North Kingston ",2852,Rhode Island,,,,school,
Filipino Combative Arts Academy,"33 Shadey lea Rd., North Kingston ",2852,South Carolina,[843] 4973691,,,school,
Ocean Martial Arts Academy,"407 79th Ave, N., Myrtle Beach ",29572,South Dakota,[605] 3482639,,,school,
Sanano Karate Club,"1019 Farlow Ave., Rapid City 57701",889,Tennessee,[423] 3336132,,,school,
Inayan Martial Arts Academy,"30050 Axley Chapel, Greenback ",37742,Tennessee,,,,school,
Academy of Modern Martial Arts,"2501 Texas Ave., College Station",,Texas,[979] 2554311,,,school,
Carrollton Martial Arts,"3733 N. Josey Ln., #108B, Carrollton ",75007,Texas,[972] 3952589,,,school,
Cedar Hill Martial Arts Center,"310 E. Parkerville Rd., Cedar Hill ",75104,Texas,[972] 2932504,,,school,
Central Texas Academy of Martial Arts," 1304 West Hopkings, San Marcos ",78666,Texas,[512] 3931360,,,school,
Crows Martial Arts Academy,"2132 College Ave. Suite 600, Carrollton ",75006,Texas,[972] 4460024,,,school,
DAMAGINC Kali Combatives,Houston ,77377,Texas,,,,school,
Fighting Method University,"4840 Hwy 377 South, Fort Worth ",76108,Texas,[817] 9388888,,,school,
Filipino American School of Combat Arts,"10304 Dyer St., El Paso ",79924,Texas,[915] 8219310,,,school,
Garland Martial Arts Center ,"2510 Crosslands Dr., Garland ",75040,Texas,(214) 7976202,,,school,
Hidden Sword Martial Arts,"501 Roanoke Rd (Roanoke Recreation Center), Roanoke ",76262,Texas,[682] 5647078,,,school,
Houston Martial Arts Academy,"(inside the Downtown Club at Houston Center), Houston ",77010,Texas,[713] 5506575,,,school,
Imua Tamaraw Escrima Kuntaw,"2324 Goilad Rd., San Antonio ",78223,Texas,[210] 3179463,,,school,Escrima
K3Lightning' (LSAI/LESKAS),Richmond ,77469,Texas,,,,school,
Kali San Antonio,San Antonio,,Texas,[210] 7970149 ,,,school,Kali
Kali Silat Combat Science ,"104 Eagle Ave., Sheppard AFB ",76311,Texas,[940] 6424112 ,,,school,Kali
Mano De Guerra Escrima ,"1150 D. Richardine, Austin ",78721,Texas,[512] 902 1228 / [512] 926 7 050,,,school,
Mid Cities Arnis,"NRH Centre, 6000 Hawk Ave., North Richland Hills ",76182,Texas,[682] 2077523,,,school,Arnis
Mousel's Self Defense Academy," 747 N. Shepherd, Suite 400, Houston ",77007,Texas,,,,school,
PKA: Philippine Kali Association (Katipunan),"642 W. University Ave 152, Denton ",76201,Texas,[940] 4530030,,,school,Kali
Plano Self Defense,"1947 Ave K. Suite 200, Plano ",75075,Texas,[972] 6333773 ,,,school,
Practical Defensive Tactics,"512 W. Broadway, Sweetwater ",79556,Texas,[325] 7253188 ,,,school,
Reid's Martial Arts Academy,"1434 N. Central Expressway Suite 109, McKinney ",75070,Texas,[972] 5482467,,,school,
Serrada Escrima of San Antonio,"San Pedro Park, San Antonio ",78201,Texas,,,,school,Escrima
Siete Pares Escrima,San Antonio,,Texas,[210] 3671877,,,school,Escrima
U.S. Karate Systems,"505 W University Ave, Suite E, Georgetown ",78626,Texas,[512] 8692615,,,school,
Warrior's Way Martial Arts Academy,"4020 Rhea Rd Ste 7c, Wichita Falls ",76308,Texas,[940] 6961254,,,school,
Wu Hsin Kuen Academy of Martial Arts,"3909 W. Airport Freeway #200, Irving",,Texas,[972] 7682721,,,school,
Cielo y Tierra Arnis de Mano ,"2023 Candlelight Dr., Chesapeake ",23325,Virginia,[757] 424 7634,,,school,Arnis
Complete Fitness Concepts,"4425 Brookfiled Corp. Dr., Chantilly ",20151,Virginia,[703] 2838826,,,school,
Eastern Academy of Mixed Martial Arts,"3900 Bonney Road Suite 213, Virginia Beach ",23452,Virginia,[757] 4865200,,,school,
Filipino Fighting Arts Academy,"5347 Lila Lane, Suite 110, Virginia Beach ",23464,Virginia,[757] 4247005,,,school,
Impact Athletes Martial Arts Academy,"2421 Bowland Parkway, Suite 103, Virginia Beach ",23454,Virginia,[757] 6311003,,,school,
Muhammad's Boxing and Martial Arts," 10208/Kings Highway, King George ",22485,Virginia,[540] 7757555,,,school,
NoVa Modern Arnis,"8717 Trafalgar Ct., Springfield ",22151,Virginia,[571] 2399930,,,school,Arnis
World Kali Silat Society,"2400 Atlantic Ave. # 121, Virginia Beach ",23458,Virginia,[757] 3735060,,,school,Kali
Bellingham Modern Arnis,"1420 Pacific Place, Suite B, Ferndale,",98248,Washington,[360] 2240232,,,school,
Bird's Martial Arts," 5775 Soundview Dr,, Suite 101 A., Gig Harbor ",98335,Washington,[253] 8847914,,,school,
Blackbird Training Group,Kennewick,,Washington,[206] 6123044,,,school,
Edmonds Martial Arts Academy,Renton ,98059,Washington,[425] 4304269,,,school,
FMS Alliance / Pinto Martial Arts,Spokane,,Washington,[646] 5939650,,,school,
Hufana Traditional Arnis International,"14510 NE 20th Street, Suite 100, Bellevue ",98007,Washington,[425] 6438488,,,school,Arnis
International Serrada Eskrima Society,"2850 SW Yancy #116, Seattle ",98126,Washington,[206] 9358218,,,school,Eskrima
Kalahi Martial Arts Academy," Cascade Mall Dr., Burlington ",98233,Washington,[360] 7204313,,,school,
LESKAS (Ballard / Crown Hill neighborhood),"1475 NW 85th St., [in Ballard], Seattle ",98155,Washington,,,,school,
Little Dojo,"1726 East Isaacs, Walla Walla ",99362,Washington,[509] 5273385,,,school,
Manaois Systems International Martial Arts Academy," 216 W. Broadway, Moses Lake ",98837,Washington,[509] 7710922,,,school,
Seattle Escrima Club,"917 E Yesler Way, Seattle ",98122,Washington,[234] 2060488,,,Club,Escrima
Seattle Filipino Martial Arts Academy,"5659 California Ave. SW, Seattle ",98136,Washington,[206] 6183992,,,school,
Seattle Modern Arnis Academy,"5740 Martin Luther King Jr. Way, Seattle ",98122,Washington,[206] 8598363,,,school,Arnis
Nubreed Martial Arts Systems,Rock Springs ,82901,Wyoming,[307] 3890339,,,school,
Wyoming Combatives Group,"2145 W. Teton, Green River ",82935,Wyoming,[307] 8710907,,,school,
